Name	Installed_Size	Depends_On	Full_Size	Used_By	Shared_Size	Relative_Size
haskell-hslua	1.8MiB	18	405.2MiB	4	461.9KiB	3.5MiB
freshfetch-bin	3.5MiB	0	3.5MiB	0	0.0	3.5MiB
bluez	2.4MiB	47	318.0MiB	10	243.4KiB	3.5MiB
xdg-user-dirs-gtk	173.4KiB	166	839.2MiB	0	0.0	3.4MiB
wget	3.1MiB	47	285.3MiB	3	1.0MiB	3.4MiB
raptor	2.9MiB	54	332.5MiB	7	418.5KiB	3.4MiB
zathura-cb	19.5KiB	169	840.9MiB	0	0.0	3.4MiB
liblangtag	3.0MiB	19	268.5MiB	4	780.5KiB	3.4MiB
haskell-uniplate	1.7MiB	21	406.4MiB	2	882.0KiB	3.4MiB
girara	248.4KiB	165	839.1MiB	5	49.7KiB	3.4MiB
gdk-pixbuf2	3.0MiB	25	281.0MiB	172	17.6KiB	3.4MiB
pasystray	108.5KiB	177	847.0MiB	0	0.0	3.4MiB
haskell-hourglass	1.9MiB	17	404.2MiB	11	173.6KiB	3.3MiB
slang	3.2MiB	12	203.2MiB	5	649.4KiB	3.3MiB
djvulibre	3.2MiB	16	208.1MiB	2	1.6MiB	3.3MiB
libepoxy	3.3MiB	5	62.7MiB	135	24.9KiB	3.3MiB
libdbusmenu-gtk3	136.2KiB	166	839.3MiB	5	27.2KiB	3.3MiB
libgme	3.2MiB	6	186.4MiB	2	1.6MiB	3.3MiB
autoconf	2.2MiB	18	271.2MiB	0	0.0	3.3MiB
svt-hevc	3.3MiB	0	3.3MiB	2	1.6MiB	3.3MiB
python-pyopenssl	554.7KiB	29	278.7MiB	1	554.7KiB	3.3MiB
wofi	117.5KiB	165	839.0MiB	0	0.0	3.2MiB
budgie-desktop-view	113.2KiB	165	839.0MiB	0	0.0	3.2MiB
haskell-primitive	1.8MiB	17	404.1MiB	24	75.4KiB	3.2MiB
libindicator-gtk3	97.1KiB	165	838.9MiB	2	48.6KiB	3.2MiB
lv2	3.2MiB	0	3.2MiB	17	193.7KiB	3.2MiB
lightdm	1.1MiB	97	528.1MiB	2	551.7KiB	3.2MiB
libkeybinder3	75.6KiB	165	838.9MiB	2	37.8KiB	3.2MiB
tpm2-tss	2.9MiB	52	281.8MiB	59	49.9KiB	3.2MiB
haskell-random	1.7MiB	18	404.2MiB	22	78.8KiB	3.2MiB
qpdf	2.8MiB	45	282.8MiB	3	966.6KiB	3.2MiB
