Name	Installed_Size	Depends_On	Full_Size	Used_By	Shared_Size	Relative_Size
python-configobj	337.8KiB	26	271.7MiB	1	337.8KiB	822.0KiB
i3lock-color	122.7KiB	58	329.7MiB	1	122.7KiB	819.3KiB
mujs	658.9KiB	8	188.5MiB	2	329.5KiB	814.6KiB
xf86-input-libinput	95.8KiB	86	375.0MiB	4	24.0KiB	809.8KiB
libidn	766.8KiB	5	60.2MiB	11	69.7KiB	809.2KiB
python-soupsieve	329.3KiB	25	271.7MiB	2	164.7KiB	808.5KiB
python-more-itertools	328.8KiB	25	271.6MiB	13	25.3KiB	808.0KiB
libsrtp	389.5KiB	43	282.0MiB	2	194.8KiB	806.9KiB
figlet	641.9KiB	9	196.7MiB	0	0.0	805.6KiB
moreutils	189.3KiB	17	262.9MiB	1	189.3KiB	802.4KiB
python-packaging	265.3KiB	26	272.5MiB	14	18.9KiB	800.8KiB
python-ply	313.4KiB	25	271.6MiB	17	18.4KiB	792.6KiB
cairomm	404.0KiB	35	249.8MiB	12	33.7KiB	791.7KiB
libftdi	537.3KiB	35	232.1MiB	3	179.1KiB	786.8KiB
psmisc	631.3KiB	7	187.8MiB	13	48.6KiB	786.3KiB
xdg-user-dirs	148.5KiB	78	353.8MiB	1	148.5KiB	786.0KiB
libzip	434.6KiB	45	278.5MiB	1	434.6KiB	782.1KiB
libnfs	735.5KiB	5	60.2MiB	3	245.2KiB	778.0KiB
liburcu	770.2KiB	0	770.2KiB	21	36.7KiB	770.2KiB
muparser	616.4KiB	6	183.8MiB	0	0.0	767.8KiB
python-brotlicffi	104.6KiB	29	276.7MiB	2	52.3KiB	767.0KiB
kernel-modules-hook	2.3KiB	25	294.0MiB	0	0.0	764.3KiB
pkcs11-helper	311.8KiB	47	291.3MiB	1	311.8KiB	763.7KiB
libburn	720.6KiB	5	60.1MiB	4	180.2KiB	763.1KiB
portaudio	353.0KiB	42	245.5MiB	6	58.8KiB	759.9KiB
pixman	716.4KiB	5	60.1MiB	210	3.4KiB	758.9KiB
python-py	731.3KiB	2	785.2KiB	1	731.3KiB	758.3KiB
fortune-mod-chuck	166.1KiB	7	65.6MiB	0	0.0	756.8KiB
python-cchardet	275.8KiB	25	271.6MiB	1	275.8KiB	755.0KiB
libuv	558.2KiB	18	216.1MiB	10	55.8KiB	751.7KiB
gpm	423.7KiB	34	233.2MiB	12	35.3KiB	740.5KiB
libpwquality	408.4KiB	24	221.1MiB	6	68.1KiB	739.9KiB
jxrlib	695.0KiB	5	60.1MiB	1	695.0KiB	737.4KiB
at-spi2-atk	225.0KiB	53	323.0MiB	119	1.9KiB	735.5KiB
xvidcore	692.4KiB	5	60.1MiB	19	36.4KiB	734.8KiB
python-msgpack	254.6KiB	25	271.6MiB	3	84.9KiB	733.8KiB
libpng	566.6KiB	10	196.9MiB	303	1.9KiB	730.6KiB
perl-ipc-run	261.5KiB	14	262.6MiB	2	130.7KiB	729.7KiB
zip	558.1KiB	10	196.7MiB	2	279.1KiB	722.0KiB
python-evdev	236.1KiB	25	271.6MiB	1	236.1KiB	715.4KiB
fortune-mod-sherlock	119.0KiB	7	65.6MiB	0	0.0	709.7KiB
libthai	665.3KiB	6	60.2MiB	177	3.8KiB	708.1KiB
lilv	321.9KiB	16	203.8MiB	15	21.5KiB	707.1KiB
fortune-mod-brooklyn-nine-nine	113.6KiB	7	65.6MiB	0	0.0	704.3KiB
cpupower	491.6KiB	17	210.4MiB	0	0.0	701.3KiB
libmediaart	285.1KiB	26	281.3MiB	1	285.1KiB	700.1KiB
libnotify	282.7KiB	26	281.3MiB	33	8.6KiB	697.7KiB
python-tinycss2	209.3KiB	26	271.6MiB	3	69.8KiB	695.8KiB
speex	635.8KiB	7	61.0MiB	76	8.4KiB	690.8KiB
libcloudproviders	478.9KiB	16	217.0MiB	120	4.0KiB	689.9KiB
libltc	647.2KiB	5	60.1MiB	2	323.6KiB	689.6KiB
libatomic_ops	644.8KiB	5	60.1MiB	2	322.4KiB	687.3KiB
python-unrardll	52.9KiB	26	271.7MiB	1	52.9KiB	687.0KiB
aalib	287.1KiB	41	249.8MiB	5	57.4KiB	686.2KiB
efibootmgr	78.0KiB	7	60.3MiB	0	0.0	685.3KiB
squashfs-tools	512.0KiB	14	201.0MiB	1	512.0KiB	684.7KiB
python-typing_extensions	200.0KiB	25	271.5MiB	1	200.0KiB	679.2KiB
iputils	469.9KiB	25	222.9MiB	1	469.9KiB	678.5KiB
tldr	55.5KiB	28	271.6MiB	0	0.0	675.4KiB
perl-html-parser	170.6KiB	22	263.0MiB	4	42.7KiB	672.2KiB
python-cssselect2	114.2KiB	27	271.7MiB	2	57.1KiB	670.5KiB
playerctl	455.9KiB	16	216.9MiB	0	0.0	666.8KiB
m4	502.1KiB	9	196.5MiB	3	167.4KiB	665.8KiB
gtk-update-icon-cache	35.9KiB	50	330.2MiB	133	276.1	664.0KiB
dconf	448.3KiB	16	216.9MiB	148	3.0KiB	659.2KiB
fortune-mod-darkknight	67.5KiB	7	65.5MiB	0	0.0	658.2KiB
sdl_image	64.3KiB	25	223.3MiB	0	0.0	656.9KiB
libdispatch	613.0KiB	5	60.0MiB	1	613.0KiB	655.5KiB
python-pychm	86.7KiB	26	271.6MiB	1	86.7KiB	649.4KiB
perl-http-message	167.4KiB	20	262.8MiB	8	20.9KiB	644.7KiB
fortune-mod-vimtips	53.3KiB	7	65.5MiB	0	0.0	644.0KiB
systemd-sysvcompat	2.4KiB	78	353.6MiB	1	2.4KiB	639.9KiB
rapidjson	639.2KiB	0	639.2KiB	1	639.2KiB	639.2KiB
python-pep517	136.8KiB	26	271.5MiB	1	136.8KiB	637.7KiB
systemd-boot-pacman-hook	208.0	78	353.6MiB	0	0.0	637.7KiB
fortune-mod-protolol-git	47.0KiB	7	65.5MiB	0	0.0	637.7KiB
fortune-mod-archlinux	44.7KiB	7	65.5MiB	0	0.0	635.4KiB
libssh	581.3KiB	7	67.7MiB	27	21.5KiB	634.9KiB
libomxil-bellagio	592.2KiB	5	60.0MiB	218	2.7KiB	634.7KiB
python-importlib-metadata	151.2KiB	26	271.5MiB	9	16.8KiB	633.6KiB
python-pyqt5-sip	152.9KiB	25	271.5MiB	4	38.2KiB	632.1KiB
libplist	418.0KiB	16	216.9MiB	16	26.1KiB	629.0KiB
libtirpc	434.9KiB	16	215.5MiB	648	687.2	627.3KiB
bdf2psf	184.6KiB	13	262.4MiB	0	0.0	626.4KiB
xorg-fonts-encodings	625.4KiB	0	625.4KiB	21	29.8KiB	625.4KiB
python-pyzstd	139.2KiB	28	275.2MiB	2	69.6KiB	625.1KiB
fakeroot	134.3KiB	45	291.5MiB	1	134.3KiB	624.2KiB
faad2	581.3KiB	5	60.0MiB	5	116.3KiB	623.7KiB
python-cssselect	143.2KiB	25	271.5MiB	1	143.2KiB	622.4KiB
python-pluggy	122.0KiB	27	271.6MiB	1	122.0KiB	621.2KiB
usbmuxd	80.7KiB	52	299.4MiB	14	5.8KiB	621.1KiB
python-toml	138.5KiB	25	271.5MiB	3	46.2KiB	617.7KiB
libwpe	270.8KiB	15	252.8MiB	19	14.3KiB	613.1KiB
rtmpdump	265.0KiB	44	278.2MiB	2	132.5KiB	612.3KiB
efivar	564.0KiB	5	60.0MiB	1	564.0KiB	606.4KiB
perl-uri	163.8KiB	13	262.4MiB	10	16.4KiB	605.6KiB
python-defusedxml	123.9KiB	25	271.4MiB	2	61.9KiB	603.1KiB
libdc1394	369.7KiB	35	232.0MiB	2	184.9KiB	601.3KiB
fortune-mod-starwars	10.5KiB	7	65.5MiB	0	0.0	601.2KiB
net-tools	558.3KiB	5	60.0MiB	2	279.2KiB	600.8KiB
dtc	595.4KiB	1	779.5KiB	2	297.7KiB	599.5KiB
fortune-mod-confucius	6.8KiB	7	65.5MiB	0	0.0	597.5KiB
opus	554.6KiB	5	60.0MiB	83	6.7KiB	597.1KiB
fortune-mod-matrix	5.8KiB	7	65.5MiB	0	0.0	596.5KiB
libdvbpsi	551.5KiB	5	60.0MiB	1	551.5KiB	594.0KiB
speexdsp	548.8KiB	5	60.0MiB	77	7.1KiB	591.2KiB
fortune-mod-thebigbangtheory	258.0	7	65.5MiB	0	0.0	590.9KiB
libxi	493.9KiB	12	76.5MiB	195	2.5KiB	584.3KiB
reflector	103.2KiB	25	271.4MiB	10	10.3KiB	582.4KiB
xdotool	184.9KiB	26	270.0MiB	1	184.9KiB	578.8KiB
libdbusmenu-glib	367.5KiB	16	216.9MiB	8	45.9KiB	578.4KiB
python-resolvelib	98.6KiB	25	271.4MiB	1	98.6KiB	577.8KiB
acestream-launcher	43.2KiB	26	271.4MiB	0	0.0	574.8KiB
libcacard	109.5KiB	47	300.8MiB	4	27.4KiB	572.5KiB
svg2png	20.1KiB	40	299.4MiB	0	0.0	572.1KiB
lmdb	529.5KiB	5	60.0MiB	5	105.9KiB	571.9KiB
python-pyppmd	91.7KiB	25	271.4MiB	2	45.8KiB	570.9KiB
python-six	90.6KiB	25	271.4MiB	18	5.0KiB	569.8KiB
python-shtab	86.5KiB	25	271.4MiB	1	86.5KiB	565.7KiB
libproxy	290.2KiB	39	252.0MiB	187	1.6KiB	564.4KiB
python-colorama	84.6KiB	25	271.4MiB	2	42.3KiB	563.8KiB
mkinitcpio-busybox	520.3KiB	6	60.1MiB	4	130.1KiB	563.0KiB
libsasl	508.0KiB	6	67.3MiB	655	794.2	561.1KiB
python-fuzzywuzzy	79.8KiB	25	271.4MiB	1	79.8KiB	559.0KiB
xdg-utils	283.1KiB	29	225.7MiB	53	5.3KiB	557.3KiB
perl-mailtools	107.6KiB	14	262.4MiB	5	21.5KiB	553.8KiB
python-appdirs	74.0KiB	25	271.4MiB	13	5.7KiB	553.2KiB
dmraid	324.9KiB	34	232.4MiB	20	16.2KiB	553.0KiB
python-texttable	73.0KiB	25	271.4MiB	2	36.5KiB	552.2KiB
libsvg-cairo	40.8KiB	39	299.4MiB	1	40.8KiB	552.0KiB
re2	399.3KiB	6	183.6MiB	4	99.8KiB	550.7KiB
mtools	385.4KiB	9	196.4MiB	1	385.4KiB	549.1KiB
usbutils	315.3KiB	35	233.7MiB	2	157.7KiB	548.9KiB
libsodium	506.3KiB	5	59.9MiB	4	126.6KiB	548.7KiB
libxnvctrl	456.0KiB	12	76.5MiB	1	456.0KiB	546.4KiB
wcalc	363.2KiB	11	198.3MiB	0	0.0	545.8KiB
ccze	373.5KiB	12	200.4MiB	1	373.5KiB	545.5KiB
python-tomli	64.9KiB	25	271.4MiB	3	21.6KiB	544.1KiB
python-ptyprocess	64.0KiB	25	271.4MiB	2	32.0KiB	543.2KiB
ttf-font-awesome	543.1KiB	0	543.1KiB	0	0.0	543.1KiB
libluv	191.0KiB	20	217.1MiB	1	191.0KiB	542.9KiB
python-pyperclip	63.2KiB	25	271.4MiB	1	63.2KiB	542.4KiB
perl-http-cookies	43.8KiB	21	262.8MiB	4	10.9KiB	542.1KiB
python-markupsafe	62.4KiB	25	271.4MiB	2	31.2KiB	541.6KiB
python-webencodings	58.6KiB	25	271.4MiB	8	7.3KiB	537.8KiB
python-ordered-set	56.5KiB	25	271.4MiB	13	4.3KiB	535.8KiB
python-contextlib2	55.1KiB	25	271.4MiB	1	55.1KiB	534.3KiB
perl-http-daemon	35.3KiB	21	262.8MiB	4	8.8KiB	533.6KiB
libsidplayfp	531.7KiB	0	531.7KiB	2	265.9KiB	531.7KiB
python-acestream	52.4KiB	25	271.4MiB	1	52.4KiB	531.6KiB
htop	322.1KiB	24	222.0MiB	1	322.1KiB	531.4KiB
libvisual	487.8KiB	5	59.9MiB	8	61.0KiB	530.3KiB
python-moreorless	49.6KiB	25	271.4MiB	1	49.6KiB	528.8KiB
perl-timedate	84.9KiB	13	262.3MiB	19	4.5KiB	526.7KiB
tslib	482.9KiB	5	59.9MiB	48	10.1KiB	525.4KiB
pacgraph	46.0KiB	25	271.4MiB	0	0.0	525.2KiB
vulkan-icd-loader	481.5KiB	5	59.9MiB	218	2.2KiB	523.9KiB
libxfont2	243.7KiB	23	228.3MiB	17	14.3KiB	523.7KiB
python-sgmllib3k	44.2KiB	25	271.4MiB	2	22.1KiB	523.4KiB
python-ifaddr	43.3KiB	25	271.4MiB	2	21.7KiB	522.5KiB
python-progress	43.3KiB	25	271.4MiB	1	43.3KiB	522.5KiB
python-multivolumefile	42.0KiB	25	271.4MiB	2	21.0KiB	521.2KiB
liboauth	73.7KiB	54	291.9MiB	2	36.8KiB	518.8KiB
perl-http-negotiate	19.8KiB	21	262.8MiB	4	5.0KiB	518.1KiB
python-netifaces	38.8KiB	25	271.4MiB	2	19.4KiB	518.0KiB
libmodplug	365.9KiB	6	183.6MiB	19	19.3KiB	517.3KiB
python-retrying	32.4KiB	26	271.4MiB	1	32.4KiB	516.7KiB
libexttextcat	473.7KiB	5	59.9MiB	2	236.9KiB	516.2KiB
c-ares	469.2KiB	5	59.9MiB	8	58.6KiB	511.6KiB
dex	31.6KiB	25	271.4MiB	0	0.0	510.8KiB
python-zipp	31.1KiB	25	271.4MiB	10	3.1KiB	510.3KiB
python-setproctitle	30.5KiB	25	271.4MiB	1	30.5KiB	509.7KiB
python-pam	22.4KiB	29	275.2MiB	1	22.4KiB	509.5KiB
libtiger	59.0KiB	40	252.0MiB	0	0.0	504.3KiB
neofetch	339.1KiB	9	196.4MiB	0	0.0	502.7KiB
libass	247.4KiB	24	229.3MiB	19	13.0KiB	501.9KiB
fuse2	458.2KiB	6	59.9MiB	11	41.7KiB	500.7KiB
libidn2	452.0KiB	6	62.1MiB	390	1.2KiB	500.3KiB
perl-lwp-mediatypes	57.8KiB	13	262.3MiB	9	6.4KiB	499.6KiB
python-mypy_extensions	18.2KiB	25	271.3MiB	1	18.2KiB	497.4KiB
mobile-broadband-provider-info	496.7KiB	0	496.7KiB	10	49.7KiB	496.7KiB
python-volatile	15.1KiB	25	271.3MiB	1	15.1KiB	494.3KiB
blas	342.8KiB	6	183.6MiB	14	24.5KiB	494.2KiB
fuse3	451.4KiB	6	59.9MiB	13	34.7KiB	493.9KiB
libogg	449.9KiB	5	59.9MiB	83	5.4KiB	492.4KiB
libksba	326.0KiB	10	197.4MiB	37	8.8KiB	491.7KiB
python-termcolor	11.9KiB	25	271.3MiB	1	11.9KiB	491.1KiB
perl-xml-writer	48.4KiB	13	262.3MiB	2	24.2KiB	490.2KiB
wavpack	445.2KiB	5	59.9MiB	7	63.6KiB	487.7KiB
libsoxr	334.5KiB	6	183.6MiB	36	9.3KiB	485.9KiB
perl-error	43.1KiB	13	262.3MiB	5	8.6KiB	484.9KiB
perl-net-http	42.8KiB	13	262.3MiB	4	10.7KiB	484.6KiB
perl-www-robotrules	19.1KiB	14	262.4MiB	4	4.8KiB	477.3KiB
dmenu	51.4KiB	52	305.0MiB	0	0.0	476.8KiB
lm_sensors	476.1KiB	0	476.1KiB	222	2.1KiB	476.1KiB
unzip	311.5KiB	10	196.5MiB	6	51.9KiB	475.3KiB
hyphen	32.9KiB	13	262.3MiB	23	1.4KiB	474.7KiB
edid-decode-git	320.4KiB	6	183.5MiB	1	320.4KiB	471.8KiB
libnet	308.1KiB	9	196.4MiB	9	34.2KiB	471.7KiB
perl-try-tiny	29.4KiB	13	262.3MiB	4	7.4KiB	471.2KiB
libssh2	415.1KiB	7	67.5MiB	350	1.2KiB	468.7KiB
metis	426.2KiB	5	59.9MiB	7	60.9KiB	468.7KiB
twolame	242.2KiB	13	189.1MiB	5	48.4KiB	468.1KiB
kmod	286.5KiB	14	207.7MiB	258	1.1KiB	467.9KiB
perl-io-html	24.8KiB	13	262.3MiB	9	2.8KiB	466.6KiB
webp-pixbuf-loader	29.9KiB	28	282.4MiB	0	0.0	465.3KiB
perl-file-listing	16.5KiB	15	262.4MiB	4	4.1KiB	464.2KiB
lz4	421.2KiB	5	59.9MiB	557	774.3	463.7KiB
wayland-protocols	462.8KiB	0	462.8KiB	1	462.8KiB	462.8KiB
perl-clone	20.6KiB	13	262.3MiB	9	2.3KiB	462.4KiB
ninja	310.3KiB	6	183.5MiB	2	155.2KiB	461.7KiB
sound-theme-freedesktop	461.2KiB	0	461.2KiB	20	23.1KiB	461.2KiB
perl-time-duration	19.3KiB	13	262.3MiB	2	9.6KiB	461.1KiB
libunrar	309.6KiB	6	183.5MiB	2	154.8KiB	461.0KiB
perl-http-date	14.7KiB	14	262.4MiB	10	1.5KiB	460.9KiB
pciutils	269.4KiB	16	210.0MiB	14	19.2KiB	459.8KiB
libxmu	342.2KiB	16	79.9MiB	75	4.6KiB	458.2KiB
alsa-plugins	385.1KiB	8	62.0MiB	11	35.0KiB	458.1KiB
perl-html-tagset	16.3KiB	13	262.3MiB	5	3.3KiB	458.1KiB
perl-encode-locale	16.2KiB	13	262.3MiB	9	1.8KiB	457.9KiB
mencal	15.2KiB	13	262.3MiB	0	0.0	456.9KiB
libpgm	411.9KiB	5	59.8MiB	4	103.0KiB	454.3KiB
dosfstools	408.9KiB	5	59.8MiB	21	19.5KiB	451.4KiB
expat	407.9KiB	5	59.8MiB	564	740.7	450.4KiB
jsoncpp	297.1KiB	6	183.5MiB	3	99.0KiB	448.4KiB
unrar	297.0KiB	6	183.5MiB	0	0.0	448.3KiB
cronie	242.2KiB	23	219.8MiB	0	0.0	447.4KiB
gumbo-parser	404.9KiB	5	59.8MiB	1	404.9KiB	447.3KiB
lzo	402.0KiB	5	59.8MiB	204	2.0KiB	444.5KiB
libmpdclient	399.7KiB	5	59.8MiB	1	399.7KiB	442.2KiB
less	261.7KiB	12	200.7MiB	15	17.4KiB	441.0KiB
usbredir	169.2KiB	38	250.7MiB	4	42.3KiB	440.4KiB
libmfx	285.8KiB	6	183.5MiB	19	15.0KiB	437.2KiB
sratom	50.8KiB	15	203.5MiB	16	3.2KiB	432.9KiB
libusb	206.1KiB	33	231.4MiB	221	955.2	430.8KiB
libedit	274.3KiB	7	187.4MiB	233	1.2KiB	429.3KiB
enchant	217.4KiB	16	216.7MiB	21	10.4KiB	428.4KiB
libunwind	261.5KiB	11	197.6MiB	221	1.2KiB	427.1KiB
libxkbcommon-x11	71.2KiB	19	257.3MiB	66	1.1KiB	426.6KiB
libcap	219.0KiB	22	219.7MiB	489	458.6	420.2KiB
p8-platform	267.4KiB	6	183.5MiB	2	133.7KiB	418.8KiB
libebml	265.8KiB	6	183.5MiB	2	132.9KiB	417.2KiB
licenses	415.9KiB	0	415.9KiB	1	415.9KiB	415.9KiB
libxft	114.1KiB	30	245.3MiB	182	642.0	414.8KiB
desktop-file-utils	203.6KiB	16	216.7MiB	136	1.5KiB	414.6KiB
libusbmuxd	113.1KiB	39	251.1MiB	15	7.5KiB	410.5KiB
jp2a	54.3KiB	53	281.4MiB	1	54.3KiB	404.2KiB
libraqm	154.4KiB	22	227.8MiB	14	11.0KiB	403.8KiB
libice	361.0KiB	5	59.8MiB	149	2.4KiB	403.5KiB
acl	317.7KiB	8	78.7MiB	447	727.9	403.3KiB
as-tree-bin	251.7KiB	6	183.5MiB	0	0.0	403.1KiB
libconfig	250.7KiB	6	183.5MiB	2	125.3KiB	402.1KiB
libbsd	344.6KiB	6	59.9MiB	5	68.9KiB	401.9KiB
libsvg	97.1KiB	13	245.5MiB	2	48.6KiB	400.6KiB
libxext	310.8KiB	11	76.0MiB	321	991.5	400.3KiB
vsqlite++	210.4KiB	10	195.9MiB	1	210.4KiB	397.2KiB
mlocate	347.8KiB	5	59.8MiB	1	347.8KiB	390.3KiB
libnghttp2	345.9KiB	5	59.8MiB	355	997.6	388.3KiB
libdca	223.9KiB	9	196.3MiB	3	74.6KiB	387.6KiB
libcdio-paranoia	163.5KiB	9	188.4MiB	15	10.9KiB	383.3KiB
libassuan	213.0KiB	10	197.3MiB	38	5.6KiB	378.8KiB
zlib	333.8KiB	5	59.8MiB	863	396.0	376.2KiB
cblas	200.1KiB	7	183.8MiB	3	66.7KiB	375.9KiB
harfbuzz-icu	17.4KiB	22	266.2MiB	20	892.6	374.4KiB
libkate	331.4KiB	5	59.8MiB	3	110.5KiB	373.9KiB
libutf8proc	373.2KiB	0	373.2KiB	1	373.2KiB	373.2KiB
bluez-libs	325.9KiB	5	59.8MiB	19	17.2KiB	368.3KiB
xxhash	322.4KiB	5	59.8MiB	5	64.5KiB	364.8KiB
uchardet	211.8KiB	6	183.4MiB	2	105.9KiB	363.1KiB
keyutils	197.4KiB	9	196.2MiB	651	310.5	361.0KiB
xob	34.8KiB	14	199.9MiB	0	0.0	358.9KiB
libtasn1	315.9KiB	5	59.8MiB	480	674.0	358.4KiB
chntpw	357.9KiB	0	357.9KiB	0	0.0	357.9KiB
rhash	314.2KiB	5	59.8MiB	2	157.1KiB	356.6KiB
libdvdread	313.8KiB	5	59.8MiB	10	31.4KiB	356.3KiB
libvdpau	265.6KiB	12	76.3MiB	21	12.6KiB	356.0KiB
woff2	197.6KiB	7	186.0MiB	20	9.9KiB	355.1KiB
gzip	157.7KiB	13	200.9MiB	12	13.1KiB	354.5KiB
libslirp	141.9KiB	16	216.6MiB	2	70.9KiB	352.9KiB
soundtouch	201.4KiB	6	183.4MiB	2	100.7KiB	352.8KiB
wireless_tools	352.3KiB	0	352.3KiB	2	176.1KiB	352.3KiB
giflib	306.7KiB	5	59.7MiB	74	4.1KiB	349.2KiB
libshout	193.6KiB	11	71.7MiB	5	38.7KiB	347.6KiB
ladspa	195.1KiB	6	183.4MiB	1	195.1KiB	346.5KiB
squashfuse	133.8KiB	15	200.7MiB	2	66.9KiB	346.3KiB
opencore-amr	299.0KiB	5	59.7MiB	19	15.7KiB	341.4KiB
alsa-topology-conf	335.7KiB	0	335.7KiB	73	4.6KiB	335.7KiB
seatd	110.8KiB	33	231.4MiB	3	36.9KiB	335.5KiB
wmctrl	45.3KiB	27	236.1MiB	1	45.3KiB	333.2KiB
bc	175.4KiB	8	188.0MiB	3	58.5KiB	331.1KiB
double-conversion	179.3KiB	6	183.4MiB	50	3.6KiB	330.6KiB
libatasmart	102.7KiB	33	231.3MiB	19	5.4KiB	327.4KiB
xdg-dbus-proxy	52.7KiB	39	251.8MiB	18	2.9KiB	326.8KiB
iw	275.6KiB	6	61.7MiB	1	275.6KiB	325.8KiB
patchelf	174.0KiB	6	183.4MiB	0	0.0	325.4KiB
pkgconf	161.6KiB	9	196.2MiB	2	80.8KiB	325.3KiB
libmpc	141.3KiB	11	198.1MiB	10	14.1KiB	323.9KiB
ca-certificates-utils	6.0KiB	41	269.9MiB	353	17.5	322.8KiB
jbig2dec	156.8KiB	11	197.1MiB	8	19.6KiB	322.7KiB
ca-certificates	0.0	43	270.9MiB	347	0.0	319.5KiB
xorg-xkbcomp	221.9KiB	12	76.1MiB	18	12.3KiB	317.0KiB
ocl-icd	271.4KiB	5	59.7MiB	1	271.4KiB	313.8KiB
bmon	123.2KiB	9	189.4MiB	1	123.2KiB	309.8KiB
bzip2	144.2KiB	9	196.2MiB	688	214.7	307.8KiB
libsm	261.2KiB	7	61.0MiB	148	1.8KiB	307.3KiB
sord	126.2KiB	13	200.3MiB	17	7.4KiB	307.2KiB
liblqr	87.9KiB	16	216.6MiB	9	9.8KiB	298.8KiB
wildmidi	225.0KiB	8	61.8MiB	2	112.5KiB	298.0KiB
libevdev	254.7KiB	5	59.7MiB	81	3.1KiB	297.2KiB
java-runtime-common	5.2KiB	30	257.7MiB	9	597.3	297.1KiB
md4c	254.2KiB	5	59.7MiB	48	5.3KiB	296.7KiB
libseccomp	252.9KiB	5	59.7MiB	275	941.8	295.4KiB
libbs2b	66.9KiB	13	188.9MiB	4	16.7KiB	292.8KiB
libnftnl	247.7KiB	6	59.7MiB	250	1014.5	290.3KiB
vid.stab	138.0KiB	6	183.4MiB	19	7.3KiB	289.4KiB
libxkbfile	198.9KiB	11	75.9MiB	35	5.7KiB	288.3KiB
libbytesize	88.9KiB	14	202.5MiB	20	4.4KiB	287.2KiB
aribb24	119.7KiB	11	197.1MiB	0	0.0	285.6KiB
ijs	120.5KiB	9	196.2MiB	10	12.1KiB	284.1KiB
otf2bdf	34.1KiB	21	227.4MiB	0	0.0	282.4KiB
xcb-util-wm	224.4KiB	9	64.4MiB	55	4.1KiB	279.9KiB
bubblewrap	77.4KiB	23	219.8MiB	27	2.9KiB	279.0KiB
tdb	236.2KiB	5	59.7MiB	30	7.9KiB	278.7KiB
sbc	235.2KiB	5	59.7MiB	18	13.1KiB	277.7KiB
libb2	126.3KiB	6	183.4MiB	8	15.8KiB	277.7KiB
preload	66.3KiB	16	216.6MiB	0	0.0	277.3KiB
libmpeg2	232.5KiB	5	59.7MiB	1	232.5KiB	275.0KiB
opusfile	209.4KiB	8	68.0MiB	2	104.7KiB	274.6KiB
libxpm	157.1KiB	16	79.7MiB	15	10.5KiB	273.1KiB
xorg-server-common	127.1KiB	15	82.7MiB	16	7.9KiB	270.8KiB
numactl	226.4KiB	5	59.7MiB	141	1.6KiB	268.8KiB
qrencode	102.0KiB	11	197.0MiB	2	51.0KiB	267.9KiB
fribidi	222.6KiB	5	59.7MiB	188	1.2KiB	265.0KiB
optipng	99.1KiB	11	197.0MiB	1	99.1KiB	265.0KiB
tevent	192.3KiB	7	60.0MiB	5	38.5KiB	263.6KiB
yajl	220.9KiB	5	59.7MiB	5	44.2KiB	263.3KiB
libnsl	70.1KiB	17	215.6MiB	221	324.7	263.2KiB
xss-lock	37.6KiB	21	221.3MiB	0	0.0	262.1KiB
erofs-utils	172.4KiB	9	61.4MiB	1	172.4KiB	258.6KiB
popt	215.6KiB	5	59.7MiB	265	833.2	258.1KiB
libusb-compat	32.1KiB	34	231.5MiB	3	10.7KiB	257.7KiB
libpaper	90.0KiB	10	196.2MiB	9	10.0KiB	257.5KiB
unibilium	212.7KiB	5	59.7MiB	2	106.3KiB	255.2KiB
libgoom2	211.6KiB	5	59.7MiB	0	0.0	254.1KiB
brightnessctl	28.1KiB	33	231.3MiB	0	0.0	252.8KiB
attr	208.0KiB	5	59.6MiB	450	473.3	250.4KiB
mkinitcpio-utils	10.1KiB	38	235.0MiB	0	0.0	249.9KiB
cmatrix	94.6KiB	7	187.2MiB	1	94.6KiB	249.6KiB
libimagequant	97.3KiB	6	183.3MiB	6	16.2KiB	248.7KiB
ncdu	90.6KiB	7	187.2MiB	0	0.0	245.7KiB
dmidecode	200.1KiB	5	59.6MiB	1	200.1KiB	242.5KiB
patch	197.8KiB	6	59.8MiB	5	39.6KiB	240.7KiB
libev	198.1KiB	5	59.6MiB	3	66.0KiB	240.6KiB
libdv	196.6KiB	6	59.8MiB	8	24.6KiB	239.9KiB
libpsl	188.5KiB	7	62.3MiB	359	537.7	237.9KiB
libsysprof-capture	237.0KiB	0	237.0KiB	423	573.8	237.0KiB
libdvdnav	159.7KiB	6	59.9MiB	4	39.9KiB	233.5KiB
npth	69.0KiB	9	196.1MiB	37	1.9KiB	232.7KiB
snappy	78.4KiB	6	183.3MiB	6	13.1KiB	229.8KiB
jansson	186.4KiB	5	59.6MiB	254	751.3	228.8KiB
hdparm	186.2KiB	5	59.6MiB	1	186.2KiB	228.6KiB
libxcrypt	186.1KiB	5	59.6MiB	824	231.3	228.6KiB
cdparanoia	185.7KiB	5	59.6MiB	8	23.2KiB	228.2KiB
stfl	69.3KiB	7	187.2MiB	1	69.3KiB	224.3KiB
libtermkey	73.5KiB	6	59.7MiB	1	73.5KiB	222.3KiB
json-c	172.9KiB	5	59.6MiB	270	655.6	215.3KiB
xorg-xinit	35.4KiB	20	80.1MiB	1	35.4KiB	214.9KiB
talloc	171.4KiB	6	59.8MiB	6	28.6KiB	214.1KiB
potrace	209.4KiB	0	209.4KiB	1	209.4KiB	209.4KiB
chmlib	166.9KiB	5	59.6MiB	2	83.4KiB	209.3KiB
whois	159.3KiB	7	62.3MiB	0	0.0	208.7KiB
